"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2022"
"Location","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian or Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.577","0.117","0.192","0.058","0.005","0.002","0.049","1.000","1"
"Alabama","0.645","0.252","0.048","0.014","0.002","N/A","0.039","1.000"
"Alaska","0.577","0.028","0.073","0.061","0.128","0.016","0.116","1.000"
"Arizona","0.518","0.043","0.325","0.035","0.033","0.001","0.044","1.000"
"Arkansas","0.677","0.141","0.085","0.015","0.004","0.004","0.074","1.000"
"California","0.337","0.051","0.404","0.153","0.002","0.003","0.049","1.000"
"Colorado","0.650","0.036","0.226","0.031","0.004","0.001","0.052","1.000"
"Connecticut","0.620","0.097","0.183","0.047","0.001","N/A","0.052","1.000"
"Delaware","0.590","0.211","0.103","0.041","0.001","N/A","0.054","1.000"
"District of Columbia","0.363","0.422","0.119","0.039","N/A","N/A","0.055","1.000"
"Florida","0.508","0.144","0.273","0.028","0.001","0.000","0.046","1.000"
"Georgia","0.498","0.306","0.104","0.044","0.001","0.001","0.047","1.000"
"Hawaii","0.195","0.011","0.108","0.359","0.001","0.094","0.232","1.000"
"Idaho","0.793","0.005","0.135","0.013","0.008","0.002","0.043","1.000"
"Illinois","0.585","0.130","0.184","0.060","0.001","0.000","0.040","1.000"
"Indiana","0.761","0.091","0.078","0.025","0.001","0.000","0.044","1.000"
"Iowa","0.829","0.036","0.068","0.024","0.001","0.002","0.039","1.000"
"Kansas","0.733","0.046","0.131","0.030","0.004","N/A","0.055","1.000"
"Kentucky","0.825","0.074","0.041","0.014","0.001","N/A","0.045","1.000"
"Louisiana","0.571","0.306","0.057","0.018","0.004","N/A","0.044","1.000"
"Maine","0.905","0.016","0.020","0.009","0.004","N/A","0.045","1.000"
"Maryland","0.472","0.292","0.115","0.066","0.001","N/A","0.054","1.000"
"Massachusetts","0.673","0.065","0.131","0.070","0.001","N/A","0.060","1.000"
"Michigan","0.729","0.129","0.057","0.033","0.003","0.000","0.050","1.000"
"Minnesota","0.763","0.065","0.058","0.052","0.007","N/A","0.055","1.000"
"Mississippi","0.557","0.364","0.032","0.009","0.004","N/A","0.035","1.000"
"Missouri","0.769","0.104","0.047","0.021","0.002","0.001","0.056","1.000"
"Montana","0.838","0.003","0.043","0.006","0.051","N/A","0.058","1.000"
"Nebraska","0.759","0.042","0.123","0.023","0.005","N/A","0.047","1.000"
"Nevada","0.444","0.090","0.303","0.090","0.005","0.006","0.063","1.000"
"New Hampshire","0.867","0.014","0.045","0.026","0.001","N/A","0.047","1.000"
"New Jersey","0.515","0.118","0.220","0.101","0.001","N/A","0.046","1.000"
"New Mexico","0.347","0.015","0.505","0.016","0.081","N/A","0.035","1.000"
"New York","0.530","0.133","0.197","0.090","0.002","0.000","0.048","1.000"
"North Carolina","0.609","0.200","0.104","0.031","0.008","0.001","0.046","1.000"
"North Dakota","0.828","0.026","0.044","0.012","0.039","N/A","0.048","1.000"
"Ohio","0.763","0.118","0.044","0.025","0.001","0.000","0.049","1.000"
"Oklahoma","0.628","0.065","0.122","0.023","0.069","N/A","0.092","1.000"
"Oregon","0.718","0.017","0.144","0.045","0.007","0.004","0.065","1.000"
"Pennsylvania","0.733","0.098","0.087","0.037","0.001","N/A","0.045","1.000"
"Rhode Island","0.680","0.045","0.179","0.032","N/A","N/A","0.062","1.000"
"South Carolina","0.628","0.247","0.064","0.017","0.002","N/A","0.041","1.000"
"South Dakota","0.801","0.019","0.046","0.014","0.072","N/A","0.045","1.000"
"Tennessee","0.721","0.152","0.063","0.019","0.001","0.001","0.044","1.000"
"Texas","0.389","0.115","0.405","0.054","0.001","0.001","0.036","1.000"
"Utah","0.756","0.010","0.152","0.026","0.007","0.011","0.039","1.000"
"Vermont","0.904","0.008","0.022","0.015","N/A","N/A","0.049","1.000"
"Virginia","0.589","0.182","0.104","0.070","0.001","0.001","0.054","1.000"
"Washington","0.636","0.038","0.140","0.098","0.009","0.006","0.073","1.000"
"West Virginia","0.904","0.029","0.019","0.007","N/A","N/A","0.040","1.000"
"Wisconsin","0.791","0.057","0.076","0.029","0.006","N/A","0.041","1.000"
"Wyoming","0.819","0.007","0.109","0.006","0.016","N/A","0.043","1.000"
"Puerto Rico","0.006","0.001","0.990","0.001","N/A","N/A","0.002","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
