"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2016"
"Location","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian or Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.612","0.121","0.179","0.054","0.010","<.01","0.026","1.000","1"
"Alabama","0.660","0.265","0.041","0.012","0.010","N/A","0.017","1.000"
"Alaska","0.614","0.029","0.067","0.060","0.150","0.012","0.068","1.000"
"Arizona","0.555","0.040","0.309","0.032","0.040","<.01","0.023","1.000"
"Arkansas","0.730","0.153","0.073","0.014","0.010","<.01","0.022","1.000"
"California","0.375","0.054","0.390","0.142","<.01","<.01","0.033","1.000"
"Colorado","0.687","0.039","0.213","0.031","0.010","<.01","0.025","1.000"
"Connecticut","0.676","0.098","0.158","0.045","<.01","N/A","0.022","1.000"
"Delaware","0.630","0.207","0.092","0.040","<.01","N/A","0.027","1.000"
"District of Columbia","0.359","0.468","0.111","0.037","N/A","N/A","0.023","1.000"
"Florida","0.547","0.151","0.251","0.027","<.01","<.01","0.022","1.000"
"Georgia","0.534","0.308","0.094","0.038","<.01","<.01","0.023","1.000"
"Hawaii","0.211","0.013","0.102","0.376","N/A","0.095","0.202","1.000"
"Idaho","0.825","0.010","0.123","0.014","0.011","N/A","0.020","1.000"
"Illinois","0.618","0.137","0.171","0.053","<.01","<.01","0.019","1.000"
"Indiana","0.798","0.091","0.068","0.021","<.01","N/A","0.021","1.000"
"Iowa","0.866","0.033","0.057","0.024","<.01","N/A","0.017","1.000"
"Kansas","0.765","0.056","0.117","0.027","0.010","N/A","0.029","1.000"
"Kentucky","0.852","0.080","0.034","0.014","<.01","N/A","0.018","1.000"
"Louisiana","0.594","0.318","0.049","0.017","0.010","N/A","0.017","1.000"
"Maine","0.936","0.015","0.015","0.012","0.010","N/A","0.016","1.000"
"Maryland","0.514","0.293","0.098","0.063","<.01","N/A","0.030","1.000"
"Massachusetts","0.726","0.067","0.114","0.063","<.01","N/A","0.028","1.000"
"Michigan","0.756","0.135","0.049","0.029","<.01","N/A","0.027","1.000"
"Minnesota","0.807","0.057","0.051","0.049","0.010","N/A","0.026","1.000"
"Mississippi","0.572","0.376","0.028","0.010","<.01","N/A","0.011","1.000"
"Missouri","0.798","0.113","0.040","0.019","<.01","<.01","0.024","1.000"
"Montana","0.866","N/A","0.035","0.010","0.061","N/A","0.027","1.000"
"Nebraska","0.800","0.044","0.106","0.023","0.010","N/A","0.020","1.000"
"Nevada","0.499","0.083","0.285","0.083","0.010","0.010","0.035","1.000"
"New Hampshire","0.911","0.011","0.035","0.025","N/A","N/A","0.018","1.000"
"New Jersey","0.557","0.125","0.200","0.095","<.01","N/A","0.022","1.000"
"New Mexico","0.379","0.017","0.486","0.015","0.086","N/A","0.017","1.000"
"New York","0.556","0.142","0.191","0.085","<.01","<.01","0.025","1.000"
"North Carolina","0.636","0.211","0.092","0.027","0.011","<.01","0.023","1.000"
"North Dakota","0.854","0.026","0.031","0.010","0.057","N/A","0.024","1.000"
"Ohio","0.796","0.121","0.036","0.020","<.01","<.01","0.026","1.000"
"Oklahoma","0.663","0.069","0.103","0.019","0.072","<.01","0.072","1.000"
"Oregon","0.763","0.017","0.127","0.042","0.010","<.01","0.037","1.000"
"Pennsylvania","0.773","0.103","0.070","0.033","<.01","<.01","0.020","1.000"
"Rhode Island","0.728","0.056","0.151","0.033","<.01","N/A","0.028","1.000"
"South Carolina","0.640","0.267","0.055","0.015","<.01","N/A","0.021","1.000"
"South Dakota","0.827","0.013","0.037","0.015","0.087","N/A","0.020","1.000"
"Tennessee","0.744","0.164","0.052","0.018","<.01","N/A","0.019","1.000"
"Texas","0.425","0.115","0.393","0.047","<.01","<.01","0.018","1.000"
"Utah","0.788","0.010","0.138","0.024","0.010","0.010","0.024","1.000"
"Vermont","0.935","0.010","0.019","0.011","0.010","N/A","0.023","1.000"
"Virginia","0.623","0.185","0.091","0.064","<.01","<.01","0.034","1.000"
"Washington","0.695","0.034","0.124","0.081","0.011","0.010","0.049","1.000"
"West Virginia","0.924","0.034","0.014","0.010","<.01","N/A","0.019","1.000"
"Wisconsin","0.819","0.060","0.067","0.027","0.010","N/A","0.019","1.000"
"Wyoming","0.847","0.010","0.096","0.010","0.023","N/A","0.018","1.000"
"Puerto Rico","0.011","<.01","0.987","N/A","N/A","N/A","<.01","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
