"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2017"
"Location","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian or Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.607","0.121","0.182","0.056","0.010","<.01","0.027","1.000","1"
"Alabama","0.658","0.266","0.041","0.013","<.01","N/A","0.017","1.000"
"Alaska","0.610","0.025","0.067","0.066","0.134","0.010","0.089","1.000"
"Arizona","0.550","0.040","0.313","0.032","0.038","<.01","0.025","1.000"
"Arkansas","0.725","0.149","0.076","0.017","0.010","<.01","0.027","1.000"
"California","0.370","0.053","0.393","0.145","<.01","<.01","0.033","1.000"
"Colorado","0.683","0.038","0.216","0.031","0.010","<.01","0.026","1.000"
"Connecticut","0.667","0.097","0.163","0.045","<.01","N/A","0.027","1.000"
"Delaware","0.626","0.212","0.092","0.040","N/A","N/A","0.027","1.000"
"District of Columbia","0.360","0.459","0.110","0.041","<.01","N/A","0.028","1.000"
"Florida","0.539","0.151","0.258","0.028","<.01","<.01","0.023","1.000"
"Georgia","0.529","0.309","0.096","0.040","<.01","N/A","0.024","1.000"
"Hawaii","0.207","0.010","0.102","0.382","<.01","0.096","0.203","1.000"
"Idaho","0.821","0.010","0.124","0.013","0.010","N/A","0.025","1.000"
"Illinois","0.613","0.137","0.174","0.054","<.01","N/A","0.021","1.000"
"Indiana","0.794","0.091","0.070","0.021","<.01","N/A","0.024","1.000"
"Iowa","0.859","0.031","0.059","0.027","<.01","N/A","0.020","1.000"
"Kansas","0.761","0.053","0.119","0.030","0.010","N/A","0.030","1.000"
"Kentucky","0.849","0.079","0.035","0.015","<.01","N/A","0.022","1.000"
"Louisiana","0.588","0.318","0.052","0.018","0.010","N/A","0.019","1.000"
"Maine","0.937","0.011","0.016","0.011","0.010","N/A","0.019","1.000"
"Maryland","0.507","0.292","0.102","0.065","<.01","<.01","0.031","1.000"
"Massachusetts","0.717","0.069","0.119","0.064","<.01","N/A","0.029","1.000"
"Michigan","0.753","0.135","0.050","0.031","<.01","N/A","0.026","1.000"
"Minnesota","0.800","0.064","0.052","0.048","0.010","N/A","0.026","1.000"
"Mississippi","0.569","0.377","0.028","0.010","<.01","N/A","0.012","1.000"
"Missouri","0.797","0.111","0.042","0.020","<.01","<.01","0.025","1.000"
"Montana","0.865","<.01","0.036","0.010","0.059","N/A","0.029","1.000"
"Nebraska","0.792","0.043","0.110","0.025","0.010","N/A","0.023","1.000"
"Nevada","0.489","0.087","0.289","0.084","0.010","0.010","0.035","1.000"
"New Hampshire","0.906","0.013","0.036","0.027","<.01","N/A","0.016","1.000"
"New Jersey","0.550","0.125","0.205","0.098","<.01","N/A","0.021","1.000"
"New Mexico","0.373","0.016","0.490","0.013","0.090","N/A","0.018","1.000"
"New York","0.552","0.142","0.193","0.087","<.01","<.01","0.025","1.000"
"North Carolina","0.631","0.210","0.094","0.028","0.011","<.01","0.026","1.000"
"North Dakota","0.847","0.029","0.034","0.017","0.056","N/A","0.017","1.000"
"Ohio","0.792","0.120","0.037","0.022","<.01","<.01","0.028","1.000"
"Oklahoma","0.659","0.069","0.105","0.021","0.074","<.01","0.071","1.000"
"Oregon","0.758","0.017","0.130","0.045","0.010","<.01","0.038","1.000"
"Pennsylvania","0.767","0.105","0.073","0.034","<.01","N/A","0.020","1.000"
"Rhode Island","0.722","0.054","0.155","0.035","<.01","N/A","0.030","1.000"
"South Carolina","0.640","0.267","0.056","0.015","<.01","N/A","0.020","1.000"
"South Dakota","0.825","0.021","0.036","0.013","0.084","N/A","0.022","1.000"
"Tennessee","0.741","0.164","0.054","0.018","<.01","N/A","0.021","1.000"
"Texas","0.419","0.116","0.397","0.048","<.01","<.01","0.018","1.000"
"Utah","0.785","0.011","0.140","0.024","0.010","0.010","0.023","1.000"
"Vermont","0.931","0.012","0.017","0.017","N/A","N/A","0.020","1.000"
"Virginia","0.619","0.185","0.093","0.066","<.01","<.01","0.035","1.000"
"Washington","0.687","0.034","0.127","0.085","0.010","0.010","0.051","1.000"
"West Virginia","0.926","0.037","0.012","0.010","<.01","N/A","0.016","1.000"
"Wisconsin","0.815","0.058","0.068","0.030","0.010","N/A","0.021","1.000"
"Wyoming","0.842","0.010","0.100","0.010","0.022","N/A","0.020","1.000"
"Puerto Rico","0.010","N/A","0.991","N/A","N/A","N/A","N/A","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
