"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2018"
"Location","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian or Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.603","0.121","0.184","0.056","0.010","<.01","0.028","1.000","1"
"Alabama","0.656","0.265","0.043","0.013","<.01","N/A","0.019","1.000"
"Alaska","0.601","0.029","0.071","0.061","0.156","0.011","0.072","1.000"
"Arizona","0.545","0.042","0.316","0.032","0.039","<.01","0.024","1.000"
"Arkansas","0.722","0.150","0.077","0.015","0.010","<.01","0.027","1.000"
"California","0.367","0.054","0.394","0.146","<.01","<.01","0.033","1.000"
"Colorado","0.680","0.038","0.216","0.032","<.01","<.01","0.028","1.000"
"Connecticut","0.663","0.099","0.166","0.047","<.01","N/A","0.024","1.000"
"Delaware","0.621","0.213","0.095","0.042","<.01","N/A","0.025","1.000"
"District of Columbia","0.367","0.449","0.113","0.036","N/A","N/A","0.034","1.000"
"Florida","0.533","0.151","0.263","0.027","<.01","<.01","0.024","1.000"
"Georgia","0.525","0.309","0.097","0.041","<.01","<.01","0.025","1.000"
"Hawaii","0.206","0.015","0.105","0.379","N/A","0.096","0.199","1.000"
"Idaho","0.819","0.005","0.127","0.016","0.011","N/A","0.022","1.000"
"Illinois","0.610","0.136","0.175","0.056","<.01","<.01","0.022","1.000"
"Indiana","0.790","0.093","0.071","0.023","<.01","N/A","0.022","1.000"
"Iowa","0.855","0.034","0.061","0.026","<.01","N/A","0.020","1.000"
"Kansas","0.760","0.054","0.120","0.028","0.010","N/A","0.032","1.000"
"Kentucky","0.848","0.076","0.036","0.015","<.01","N/A","0.023","1.000"
"Louisiana","0.588","0.316","0.051","0.016","0.010","N/A","0.023","1.000"
"Maine","0.934","0.013","0.015","0.013","<.01","N/A","0.021","1.000"
"Maryland","0.503","0.293","0.105","0.064","<.01","N/A","0.034","1.000"
"Massachusetts","0.708","0.070","0.124","0.067","<.01","N/A","0.029","1.000"
"Michigan","0.750","0.135","0.052","0.032","<.01","N/A","0.026","1.000"
"Minnesota","0.796","0.065","0.054","0.047","0.010","N/A","0.028","1.000"
"Mississippi","0.567","0.377","0.028","0.009","<.01","N/A","0.014","1.000"
"Missouri","0.795","0.113","0.041","0.020","<.01","<.01","0.026","1.000"
"Montana","0.861","<.01","0.039","0.007","0.058","N/A","0.031","1.000"
"Nebraska","0.787","0.044","0.111","0.023","0.010","N/A","0.029","1.000"
"Nevada","0.485","0.087","0.291","0.081","0.010","0.010","0.041","1.000"
"New Hampshire","0.902","0.011","0.038","0.028","N/A","N/A","0.018","1.000"
"New Jersey","0.547","0.126","0.208","0.097","<.01","N/A","0.021","1.000"
"New Mexico","0.369","0.018","0.491","0.015","0.089","N/A","0.017","1.000"
"New York","0.553","0.141","0.193","0.085","<.01","N/A","0.026","1.000"
"North Carolina","0.629","0.209","0.096","0.029","0.010","<.01","0.027","1.000"
"North Dakota","0.839","0.030","0.035","0.020","0.051","N/A","0.024","1.000"
"Ohio","0.788","0.121","0.038","0.023","<.01","N/A","0.028","1.000"
"Oklahoma","0.653","0.070","0.109","0.021","0.076","<.01","0.072","1.000"
"Oregon","0.752","0.018","0.133","0.046","0.010","<.01","0.038","1.000"
"Pennsylvania","0.763","0.103","0.076","0.035","<.01","N/A","0.022","1.000"
"Rhode Island","0.715","0.056","0.160","0.034","N/A","N/A","0.031","1.000"
"South Carolina","0.638","0.263","0.058","0.016","<.01","N/A","0.022","1.000"
"South Dakota","0.816","0.022","0.038","0.013","0.086","N/A","0.025","1.000"
"Tennessee","0.738","0.165","0.055","0.017","<.01","N/A","0.022","1.000"
"Texas","0.414","0.116","0.398","0.050","<.01","<.01","0.019","1.000"
"Utah","0.780","0.012","0.141","0.023","0.010","0.010","0.026","1.000"
"Vermont","0.929","0.011","0.018","0.019","<.01","N/A","0.019","1.000"
"Virginia","0.615","0.186","0.095","0.066","<.01","<.01","0.036","1.000"
"Washington","0.679","0.037","0.129","0.088","0.011","0.010","0.050","1.000"
"West Virginia","0.925","0.036","0.013","0.008","<.01","N/A","0.018","1.000"
"Wisconsin","0.812","0.062","0.070","0.028","0.010","<.01","0.021","1.000"
"Wyoming","0.842","0.005","0.100","0.011","0.023","N/A","0.020","1.000"
"Puerto Rico","0.010","<.01","0.987","N/A","N/A","N/A","<.01","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
