State,Adherence Rate per 1000
US-UT,760.96
US-AL,636.01
US-LA,633.23
US-OK,611.75
US-MS,594.32
US-AR,577.64
US-DC,564.49
US-TN,556.37
US-SD,553.79
US-TX,550.53
US-ND,550.19
US-ID,527.38
US-SC,526.70
US-NM,525.13
US-NJ,521.74
US-NC,521.46
US-RI,515.09
US-NY,512.22
US-IL,508.13
US-GA,507.84
US-MN,494.94
US-KY,494.09
US-NE,492.77
US-MA,486.40
US-MO,484.08
US-WI,480.44
US-OH,478.52
US-CT,473.71
US-FL,470.79
US-PA,468.93
US-KS,460.28
US-VA,459.98
US-IA,448.65
US-CA,448.34
US-AZ,440.66
US-MD,434.72
US-IN,421.40
US-NV,416.08
US-HI,414.86
US-DE,413.57
US-WA,413.32
US-WY,403.94
US-MI,396.79
US-WV,377.78
US-VT,376.34
US-CO,354.09
US-AK,351.82
US-MT,348.37
US-OR,331.81
US-ME,307.94
US-NH,272.19
